09-21 16:48:14.342   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48766mC, Err -1766mC, SampleCnt 1
09-21 16:48:14.343   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48766mC, Err -3766mC, SampleCnt 1
09-21 16:48:14.344   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48766mC, Err -766mC, SampleCnt 1
09-21 16:48:14.346   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
09-21 16:48:14.347   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48766mC, Err -4766mC, SampleCnt 1
09-21 16:48:16.349   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48766mC, Err -1766mC, SampleCnt 1
09-21 16:48:16.350   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48766mC, Err -3766mC, SampleCnt 1
09-21 16:48:16.352   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48766mC, Err -766mC, SampleCnt 1
09-21 16:48:16.354   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
09-21 16:48:16.355   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48766mC, Err -4766mC, SampleCnt 1
09-21 16:48:18.359   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48766mC, Err -1766mC, SampleCnt 1
09-21 16:48:18.360   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48766mC, Err -3766mC, SampleCnt 1
09-21 16:48:18.361   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48766mC, Err -766mC, SampleCnt 1
09-21 16:48:18.362   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48766mC, Err -2766mC, SampleCnt 1
09-21 16:48:18.364   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48766mC, Err -4766mC, SampleCnt 1
09-21 16:48:20.366   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48831mC, Err -1831mC, SampleCnt 1
09-21 16:48:20.367   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48831mC, Err -3831mC, SampleCnt 1
09-21 16:48:20.368   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER3 Read sdm-therm 48831mC, Err -831mC, SampleCnt 1
09-21 16:48:20.370   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER2 Read sdm-therm 48831mC, Err -2831mC, SampleCnt 1
09-21 16:48:20.371   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-SILVER Read sdm-therm 48831mC, Err -4831mC, SampleCnt 1
09-21 16:48:22.374   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD2 Read sdm-therm 48831mC, Err -1831mC, SampleCnt 1
09-21 16:48:22.375   853  1020 D ThermalEngine: handle_timer_sig: SS Id SS-QUIET-THERM-GOLD Read sdm-therm 48831mC, Err -3831mC, SampleCnt 1
