datetime,packagenme/activity,this_time(s),total_time(s),launchtype
2024-09-21 16-55-25,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,0.41,0.41,normal launch
2024-09-21 16-55-26,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,1.66,1.66,fullydrawn launch
2024-09-21 17-02-19,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,0.41,0.41,normal launch
2024-09-21 17-02-19,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,1.66,1.66,fullydrawn launch
2024-09-21 17-02-27,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,0.41,0.41,normal launch
2024-09-21 17-02-27,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,1.66,1.66,fullydrawn launch
2024-09-21 17-02-43,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,0.41,0.41,normal launch
2024-09-21 17-02-43,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,1.66,1.66,fullydrawn launch
2024-09-21 17-02-46,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,0.41,0.41,normal launch
2024-09-21 17-02-46,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,1.66,1.66,fullydrawn launch
2024-09-21 17-02-50,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,0.41,0.41,normal launch
2024-09-21 17-02-50,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,1.66,1.66,fullydrawn launch
2024-09-21 17-03-00,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,0.41,0.41,normal launch
2024-09-21 17-03-00,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,1.66,1.66,fullydrawn launch
2024-09-21 17-03-01,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,0.41,0.41,normal launch
2024-09-21 17-03-01,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,1.66,1.66,fullydrawn launch
2024-09-21 17-03-02,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,0.41,0.41,normal launch
2024-09-21 17-03-02,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,1.66,1.66,fullydrawn launch
2024-09-21 17-03-17,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,0.41,0.41,normal launch
2024-09-21 17-03-17,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,1.66,1.66,fullydrawn launch
2024-09-21 17-03-18,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,0.41,0.41,normal launch
2024-09-21 17-03-18,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,1.66,1.66,fullydrawn launch
2024-09-21 17-03-22,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,0.41,0.41,normal launch
2024-09-21 17-03-22,com.camelgames.aoz.debuglz4/com.camelgames.UnityPlayerActivity,1.66,1.66,fullydrawn launch
