2024-09-21 18-26-23 top info:
Tasks: 623 total,   3 running, 435 sleeping,   0 stopped,   1 zombie
Mem:   5792924k total,  5508960k used,   283964k free,     8264k buffers
Swap:  2621436k total,   390108k used,  2231328k free,  1416044k cached
800%cpu 131%user   0%nice  48%sys 607%idle   0%iow  14%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS                       
10797 u0_a201      10 -10  11G 1.2G 534M S  137  23.4 105:56.71 com.camelgames.aoz.debuglz4
19332 shell        20   0  12M 4.2M 3.2M R 17.2   0.0   0:00.05 top -b -n 1 -d 1
  720 system       -2   0 2.1G  26M  20M S 13.7   0.4  54:25.48 surfaceflinger
 1589 system       18  -2 4.7G 296M 296M S 10.3   5.2 155:47.95 system_server
 6527 root         20   0    0    0    0 R  6.8   0.0   1:27.64 [kworker/u16:5]
  717 audioserver  20   0 167M 7.7M 4.0M S  6.8   0.1  28:30.97 audioserver
  678 system       RT   0  59M 5.4M 4.1M R  6.8   0.0  35:36.37 android.hardware.sensors@1.0-service
17023 root         20   0    0    0    0 I  3.4   0.0   0:04.24 [kworker/1:2]
 8283 root         19  -1    0    0    0 S  3.4   0.0   1:42.25 [cds_ol_rx_threa]
 2568 system       20   0  17M 5.1M 3.1M S  3.4   0.0  68:50.11 cnss_diag -q -f
  671 system       -3   0  56M 9.4M 6.7M S  3.4   0.1  16:53.12 android.hardware.graphics.composer@2.2-service
  661 audioserver  20   0  44M 4.4M 2.3M S  3.4   0.0  19:50.66 android.hardware.audio@2.0-service
  624 root         20   0    0    0    0 S  3.4   0.0   3:20.85 [qrtr_rx]
  242 root         -3   0    0    0    0 S  3.4   0.0  12:05.76 [kgsl_worker_thr]
19291 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:4]
19277 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:1]
19243 u0_a28       20   0 4.2G 115M  92M S  0.0   2.0   0:00.80 com.android.camera
19087 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:2H]
19053 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:3]
19036 root          0 -20    0    0    0 I  0.0   0.0   0:00.07 [kworker/0:0H]
19026 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/4:0]
18935 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:0]
18933 root          0 -20    0    0    0 I  0.0   0.0   0:00.02 [kworker/4:0H]
18909 root         20   0    0    0    0 I  0.0   0.0   0:05.99 [kworker/u16:1]
18837 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/7:0]
18780 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/6:0]
18738 root          0 -20    0    0    0 I  0.0   0.0   0:00.10 [kworker/1:0H]
18682 root          0 -20    0    0    0 I  0.0   0.0   0:00.11 [kworker/0:2H]
18624 root          0 -20    0    0    0 I  0.0   0.0   0:00.10 [kworker/4:1H]
18617 root         20   0    0    0    0 I  0.0   0.0   0:00.25 [kworker/0:3]
18599 root         20   0    0    0    0 I  0.0   0.0   0:00.07 [kworker/0:2]
18491 root         20   0    0    0    0 I  0.0   0.0   0:00.67 [kworker/1:3]
18489 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:0]
18158 root          0 -20    0    0    0 I  0.0   0.0   0:00.06 [kworker/4:2H]
18107 root          0 -20    0    0    0 I  0.0   0.0   0:00.03 [kworker/6:1H]
18043 updater      20   0 4.2G 111M  90M S  0.0   1.9   0:00.84 com.android.updater
18014 root         20   0    0    0    0 I  0.0   0.0   0:00.19 [kworker/4:1]
17918 root          0 -20    0    0    0 I  0.0   0.0   0:00.08 [kworker/1:1H]
17509 root         20   0    0    0    0 I  0.0   0.0   0:00.90 [kworker/0:1]
17413 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:2]
17139 u0_a189      20   0 4.2G  90M  71M S  0.0   1.5   0:00.24 com.google.process.gservices
17103 u0_a189      20   0 4.6G 178M 152M S  0.0   3.1   0:03.14 com.google.android.gms.unstable
17073 root         20   0    0    0    0 I  0.0   0.0   0:10.42 [kworker/u16:11]
17056 system       20   0 4.3G 155M 127M S  0.0   2.7   0:00.69 com.android.settings
17034 root         20   0    0    0    0 S  0.0   0.0   0:24.20 [kworker/u16:3]
16989 root          0 -20    0    0    0 I  0.0   0.0   0:00.22 [kworker/0:1H]
16526 root         20   0    0    0    0 I  0.0   0.0   0:00.18 [kworker/6:2]
16235 root         20   0    0    0    0 I  0.0   0.0   0:00.03 [kworker/4:2]
14445 root         20   0    0    0    0 I  0.0   0.0   0:02.12 [kworker/1:4]
13163 system       20   0 4.2G 113M  92M S  0.0   2.0   0:00.35 com.android.settings:remote
12449 u0_a163      20   0 4.2G  97M  76M S  0.0   1.7   0:00.24 com.miui.weather2
12221 root         20   0  10M 3.2M 2.5M S  0.0   0.0   0:00.90 ip6tables-restore --noflush -w -v
12220 root         20   0  10M 3.3M 2.7M S  0.0   0.0   0:01.76 iptables-restore --noflush -w -v
11583 u0_a116      20   0 4.3G 109M  85M S  0.0   1.9   0:15.69 com.miui.guardprovider
 9920 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:0H]
 9611 u0_a192      20   0 4.4G 180M 137M S  0.0   3.1   0:10.23 com.android.vending
 9557 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:0]
 9536 root          0 -20    0    0    0 I  0.0   0.0   0:03.14 [kworker/u17:1]
 9225 root          0 -20    0    0    0 I  0.0   0.0   0:00.29 [kworker/2:1H]
 8213 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:2H]
 8179 u0_a189      20   0 4.2G  95M  76M S  0.0   1.6   0:00.37 com.google.process.gapps
 7953 root         20   0    0    0    0 I  0.0   0.0   0:00.03 [kworker/3:0]
 7665 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/5:1]
 6587 root         20   0    0    0    0 I  0.0   0.0   0:00.32 [kworker/2:1]
 2121 root         20   0    0    0    0 I  0.0   0.0   0:00.06 [kworker/5:3]
32737 root         20   0    0    0    0 I  0.0   0.0   0:00.48 [kworker/3:2]
27969 u0_a31       20   0 4.3G 126M 103M S  0.0   2.2   0:14.21 android.process.media
27692 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dsi_err_workq]
11568 u0_a189      20   0 7.1G 216M 216M S  0.0   3.8   2:46.06 com.google.android.gms.persistent
 8284 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [wmi_rx_event_wo]
 8282 root         18  -2    0    0    0 S  0.0   0.0   0:37.13 [scheduler_threa]
 8278 wifi         20   0 2.0G  10M 7.7M S  0.0   0.1   0:05.97 wpa_supplicant -O/data/vendor/wifi/wpa/sockets -puse_p2p_group_interface=1 -dd -g@android:vendor_wpa_wlan0
32760 u0_a130      20   0 4.3G 163M 125M S  0.0   2.8   0:03.71 com.sohu.inputmethod.sogou.xiaomi
 6821 root          0 -20    0    0    0 I  0.0   0.0   0:00.21 [kworker/6:2H]
 6252 root          0 -20    0    0    0 I  0.0   0.0   0:00.76 [kworker/7:0H]
 5536 root          0 -20    0    0    0 I  0.0   0.0   0:00.36 [kworker/7:1H]
 4064 u0_a189      20   0 4.8G 202M 170M S  0.0   3.5   2:15.87 com.google.android.gms
18188 theme        20   0 4.2G 100M  79M S  0.0   1.7   0:03.83 com.android.thememanager
 3528 u0_a117      20   0 4.3G  98M  84M S  0.0   1.7   0:19.77 com.miui.systemAdSolution
27195 u0_a63       20   0 4.2G  79M  63M S  0.0   1.3   0:00.23 com.miui.player:stat
27122 u0_a63       20   0 4.3G  97M  78M S  0.0   1.7   0:18.98 com.miui.player
26719 u0_a91       30  10 4.4G  99M  99M S  0.0   1.7   2:50.84 com.xiaomi.market
26395 u0_a90       20   0 4.2G 100M  81M S  0.0   1.7   0:01.07 com.miui.securityinputmethod
23850 system       20   0 4.2G  87M  72M S  0.0   1.5   0:00.67 com.miui.cleanmaster:cmsdk
 7015 system       20   0 4.2G  75M  61M S  0.0   1.3   0:01.55 com.miui.wmsvc
 6503 u0_a143      20   0 4.9G 283M 209M S  0.0   4.9   4:30.27 com.tencent.mm
 6326 u0_a143      20   0 4.8G 169M 128M S  0.0   2.9   4:36.73 com.tencent.mm:push
 6129 mdnsr        20   0 5.6M 1.2M 548K S  0.0   0.0   4:03.01 mdnsd
 6110 system       20   0 4.2G  82M  65M S  0.0   1.4   0:12.01 com.xiaomi.mi_connect_service
 6039 system       20   0 4.2G  80M  62M S  0.0   1.4   0:20.21 com.qualcomm.qti.workloadclassifier
 6007 system       20   0 4.2G  71M  56M S  0.0   1.2   0:05.90 com.qualcomm.qti.smcinvokepkgmgr
 5958 radio        20   0 4.2G  75M  60M S  0.0   1.3   0:00.26 com.qualcomm.qti.autoregistration
 5850 system       20   0 4.2G  97M  76M S  0.0   1.7   0:10.53 com.miui.notification:remote
 5791 u0_a47       20   0 4.2G  88M  72M S  0.0   1.5   0:06.07 com.miui.mishare.connectivity
 5546 system       20   0 4.2G  97M  78M S  0.0   1.7   0:02.85 com.xiaomi.joyose
 3775 system       20   0  10M 2.2M 2.1M S  0.0   0.0   0:05.61 subsystem_ramdump 2 0 0
 3331 u0_a45       20   0 4.2G 101M  80M S  0.0   1.7   0:04.24 com.lbe.security.miui
 3277 u0_a98       20   0 4.2G 108M  85M S  0.0   1.9   0:34.03 com.miui.analytics
 3227 u0_a81       20   0 4.3G  97M  78M S  0.0   1.7   0:12.72 com.miui.hybrid
 3181 system       20   0 4.2G  93M  75M S  0.0   1.6   0:18.58 com.xiaomi.location.fused
 3164 u0_a80       20   0 4.3G  98M  80M S  0.0   1.7   0:29.33 com.xiaomi.metoknlp
 3001 u0_a119      20   0 4.2G 104M  85M S  0.0   1.8   0:37.26 com.xiaomi.xmsf
 2990 system       20   0 4.3G  95M  95M S  0.0   1.6   2:01.93 com.miui.securitycenter.remote
 2975 system       20   0 4.3G 105M  95M S  0.0   1.8   1:38.20 com.miui.powerkeeper
 2935 u0_a123      20   0 4.2G  70M  51M S  0.0   1.2   0:00.10 com.android.smspush
 2883 u0_a172      20   0 5.2G  73M  73M S  0.0   1.2   5:38.10 com.tencent.mobileqq:MSF
