datatime,package,pid,pss,java_heap,native_heap,system
2024-09-21 18-45-49,com.camelgames.aoz.debuglz4,10797,1441.67,13.87,299.98,13.93
2024-09-21 18-45-49,com.camelgames.aoz.debuglz4,10797,1441.57,13.6,300.12,13.98
2024-09-21 18-45-50,com.camelgames.aoz.debuglz4,10797,1436.23,13.61,294.76,13.98
2024-09-21 18-45-50,com.camelgames.aoz.debuglz4,10797,1431.72,13.61,290.24,13.98
2024-09-21 18-45-51,com.camelgames.aoz.debuglz4,10797,1430.29,13.61,288.8,13.98
2024-09-21 18-45-51,com.camelgames.aoz.debuglz4,10797,1430.3,13.61,288.81,13.98
2024-09-21 18-45-52,com.camelgames.aoz.debuglz4,10797,1430.31,13.61,288.82,13.98
2024-09-21 18-45-52,com.camelgames.aoz.debuglz4,10797,1430.31,13.61,288.82,13.98
2024-09-21 18-45-53,com.camelgames.aoz.debuglz4,10797,1430.33,13.61,288.82,13.98
2024-09-21 18-45-53,com.camelgames.aoz.debuglz4,10797,1430.34,13.61,288.84,13.98
2024-09-21 18-45-54,com.camelgames.aoz.debuglz4,10797,1430.34,13.61,288.84,13.98
2024-09-21 18-45-54,com.camelgames.aoz.debuglz4,10797,1430.35,13.62,288.84,13.98
2024-09-21 18-45-54,com.camelgames.aoz.debuglz4,10797,1430.35,13.62,288.84,13.98
2024-09-21 18-45-55,com.camelgames.aoz.debuglz4,10797,1430.36,13.62,288.85,13.98
2024-09-21 18-45-55,com.camelgames.aoz.debuglz4,10797,1430.36,13.62,288.85,13.98
2024-09-21 18-45-56,com.camelgames.aoz.debuglz4,10797,1430.37,13.62,288.85,13.98
2024-09-21 18-45-56,com.camelgames.aoz.debuglz4,10797,1430.36,13.62,288.85,13.99
2024-09-21 18-45-57,com.camelgames.aoz.debuglz4,10797,1430.34,13.62,288.82,13.98
2024-09-21 18-45-57,com.camelgames.aoz.debuglz4,10797,1430.35,13.62,288.83,13.98
2024-09-21 18-45-57,com.camelgames.aoz.debuglz4,10797,1430.35,13.62,288.83,13.98
2024-09-21 18-45-58,com.camelgames.aoz.debuglz4,10797,1430.36,13.62,288.84,13.98
2024-09-21 18-45-58,com.camelgames.aoz.debuglz4,10797,1431.01,13.62,289.5,13.98
2024-09-21 18-45-59,com.camelgames.aoz.debuglz4,10797,1431.62,13.62,290.1,13.98
2024-09-21 18-45-59,com.camelgames.aoz.debuglz4,10797,1432.17,13.62,290.65,13.98
2024-09-21 18-46-00,com.camelgames.aoz.debuglz4,10797,1432.91,13.62,291.38,13.98
2024-09-21 18-46-00,com.camelgames.aoz.debuglz4,10797,1433.47,13.62,291.94,13.98
2024-09-21 18-46-01,com.camelgames.aoz.debuglz4,10797,1434.1,13.61,292.57,13.98
2024-09-21 18-46-01,com.camelgames.aoz.debuglz4,10797,1434.78,13.62,293.25,13.98
2024-09-21 18-46-02,com.camelgames.aoz.debuglz4,10797,1435.4,13.62,293.86,13.98
2024-09-21 18-46-02,com.camelgames.aoz.debuglz4,10797,1435.99,13.62,294.47,13.99
2024-09-21 18-46-02,com.camelgames.aoz.debuglz4,10797,1436.66,13.62,295.12,13.98
2024-09-21 18-46-03,com.camelgames.aoz.debuglz4,10797,1437.31,13.62,295.77,13.98
2024-09-21 18-46-03,com.camelgames.aoz.debuglz4,10797,1437.97,13.61,296.43,13.98
2024-09-21 18-46-04,com.camelgames.aoz.debuglz4,10797,1438.67,13.62,297.12,13.98
2024-09-21 18-46-04,com.camelgames.aoz.debuglz4,10797,1439.39,13.62,297.85,13.98
2024-09-21 18-46-05,com.camelgames.aoz.debuglz4,10797,1440.12,13.62,298.57,13.98
2024-09-21 18-46-05,com.camelgames.aoz.debuglz4,10797,1440.76,13.62,299.21,13.98
2024-09-21 18-46-06,com.camelgames.aoz.debuglz4,10797,1441.95,13.62,300.39,13.98
2024-09-21 18-46-06,com.camelgames.aoz.debuglz4,10797,1441.24,13.62,299.66,13.98
2024-09-21 18-46-07,com.camelgames.aoz.debuglz4,10797,1436.25,13.61,294.67,13.98
2024-09-21 18-46-07,com.camelgames.aoz.debuglz4,10797,1431.92,13.61,290.28,13.98
2024-09-21 18-46-07,com.camelgames.aoz.debuglz4,10797,1430.45,13.61,288.87,13.98
2024-09-21 18-46-08,com.camelgames.aoz.debuglz4,10797,1430.45,13.62,288.87,13.98
2024-09-21 18-46-08,com.camelgames.aoz.debuglz4,10797,1430.45,13.61,288.87,13.98
2024-09-21 18-46-09,com.camelgames.aoz.debuglz4,10797,1430.44,13.61,288.87,13.98
2024-09-21 18-46-09,com.camelgames.aoz.debuglz4,10797,1430.44,13.61,288.87,13.98
2024-09-21 18-46-10,com.camelgames.aoz.debuglz4,10797,1430.44,13.61,288.87,13.98
2024-09-21 18-46-10,com.camelgames.aoz.debuglz4,10797,1430.45,13.62,288.87,13.98
2024-09-21 18-46-10,com.camelgames.aoz.debuglz4,10797,1430.45,13.62,288.87,13.98
2024-09-21 18-46-11,com.camelgames.aoz.debuglz4,10797,1430.44,13.61,288.87,13.98
2024-09-21 18-46-11,com.camelgames.aoz.debuglz4,10797,1430.44,13.62,288.87,13.98
2024-09-21 18-46-12,com.camelgames.aoz.debuglz4,10797,1430.45,13.62,288.87,13.98
2024-09-21 18-46-12,com.camelgames.aoz.debuglz4,10797,1430.45,13.62,288.87,13.98
2024-09-21 18-46-13,com.camelgames.aoz.debuglz4,10797,1430.44,13.61,288.87,13.98
2024-09-21 18-46-13,com.camelgames.aoz.debuglz4,10797,1430.44,13.61,288.87,13.98
