2024-09-21 18-01-16 top info:
Tasks: 633 total,   2 running, 436 sleeping,   0 stopped,   1 zombie
Mem:   5792924k total,  5706312k used,    86612k free,     8264k buffers
Swap:  2621436k total,   390132k used,  2231304k free,  1420624k cached
800%cpu 146%user   0%nice  50%sys 589%idle   0%iow  14%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS                       
10797 u0_a201      10 -10  11G 1.2G 536M S  150  23.3  71:05.25 com.camelgames.aoz.debuglz4
17227 shell        20   0  12M 4.3M 3.3M R 17.8   0.0   0:00.07 top -b -n 1 -d 1
  720 system       -2   0 2.1G  26M  20M S 14.2   0.4  50:54.04 surfaceflinger
 1589 system       18  -2 4.8G 296M 296M S 10.7   5.2 153:25.26 system_server
  717 audioserver  20   0 167M 7.7M 4.0M S  7.1   0.1  26:14.64 audioserver
  678 system       RT   0  59M 5.2M 4.1M R  7.1   0.0  33:25.60 android.hardware.sensors@1.0-service
17071 root         20   0    0    0    0 I  3.5   0.0   0:00.36 [kworker/u16:8]
17034 root         20   0    0    0    0 I  3.5   0.0   0:00.23 [kworker/u16:3]
 2568 system       20   0  17M 5.1M 3.1M S  3.5   0.0  67:45.60 cnss_diag -q -f
  671 system       -3   0  56M 9.4M 6.7M S  3.5   0.1  15:29.07 android.hardware.graphics.composer@2.2-service
  661 audioserver  20   0  44M 4.4M 2.3M S  3.5   0.0  18:27.04 android.hardware.audio@2.0-service
  442 root         RT   0    0    0    0 D  3.5   0.0   7:23.58 [crtc_commit:110]
  242 root         -3   0    0    0    0 S  3.5   0.0  11:21.81 [kgsl_worker_thr]
   12 root         20   0    0    0    0 S  3.5   0.0   2:43.52 [rcuop/0]
    9 root         20   0    0    0    0 I  3.5   0.0   3:42.74 [rcu_preempt]
17139 u0_a189      20   0 4.2G  90M  71M S  0.0   1.5   0:00.23 com.google.process.gservices
17103 u0_a189      20   0 4.6G 177M 153M S  0.0   3.1   0:01.50 com.google.android.gms.unstable
17075 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/u16:13]
