datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2024-09-21 18-02-21,196,141,55,586,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-02-22,186,145,41,597,com.camelgames.aoz.debuglz4,10797,124
2024-09-21 18-02-23,176,133,43,607,com.camelgames.aoz.debuglz4,10797,133
2024-09-21 18-02-24,181,113,68,603,com.camelgames.aoz.debuglz4,10797,129
2024-09-21 18-02-25,217,141,76,566,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-02-26,231,148,83,552,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-02-27,193,148,45,590,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-02-28,170,127,43,613,com.camelgames.aoz.debuglz4,10797,126
2024-09-21 18-02-29,196,143,53,587,com.camelgames.aoz.debuglz4,10797,136
2024-09-21 18-02-30,210,134,76,576,com.camelgames.aoz.debuglz4,10797,127
2024-09-21 18-02-31,194,147,47,587,com.camelgames.aoz.debuglz4,10797,140
2024-09-21 18-02-32,228,171,57,550,com.camelgames.aoz.debuglz4,10797,139
2024-09-21 18-02-33,203,140,63,583,com.camelgames.aoz.debuglz4,10797,136
2024-09-21 18-02-34,200,141,59,586,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-02-35,210,148,62,572,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-02-36,194,128,66,590,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-02-37,150,100,50,637,com.camelgames.aoz.debuglz4,10797,126
2024-09-21 18-02-38,200,162,38,586,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-02-39,180,130,50,603,com.camelgames.aoz.debuglz4,10797,133
2024-09-21 18-02-40,194,127,67,597,com.camelgames.aoz.debuglz4,10797,136
2024-09-21 18-02-41,193,117,76,590,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-02-42,218,168,50,564,com.camelgames.aoz.debuglz4,10797,142
2024-09-21 18-02-43,231,169,62,552,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-02-44,224,141,83,559,com.camelgames.aoz.debuglz4,10797,131
2024-09-21 18-02-45,175,139,36,611,com.camelgames.aoz.debuglz4,10797,139
2024-09-21 18-02-47,197,136,61,588,com.camelgames.aoz.debuglz4,10797,139
2024-09-21 18-02-47,217,134,83,566,com.camelgames.aoz.debuglz4,10797,144
2024-09-21 18-02-48,211,152,59,562,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-02-49,214,148,66,566,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-02-50,238,162,76,541,com.camelgames.aoz.debuglz4,10797,131
2024-09-21 18-02-51,186,152,34,600,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-02-52,183,138,45,603,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-02-53,207,166,41,493,com.camelgames.aoz.debuglz4,10797,127
2024-09-21 18-02-54,235,169,66,541,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-02-55,213,153,60,570,com.camelgames.aoz.debuglz4,10797,136
2024-09-21 18-02-56,214,155,59,572,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-02-57,224,162,62,562,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-02-58,251,179,72,534,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-02-59,239,182,57,543,com.camelgames.aoz.debuglz4,10797,146
2024-09-21 18-03-00,167,137,30,620,com.camelgames.aoz.debuglz4,10797,126
2024-09-21 18-03-02,200,142,58,584,com.camelgames.aoz.debuglz4,10797,138
2024-09-21 18-03-03,207,138,69,576,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-03-03,186,145,41,600,com.camelgames.aoz.debuglz4,10797,131
2024-09-21 18-03-04,231,169,62,552,com.camelgames.aoz.debuglz4,10797,127
2024-09-21 18-03-06,204,138,66,579,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-03-07,214,157,57,570,com.camelgames.aoz.debuglz4,10797,136
2024-09-21 18-03-08,217,134,83,566,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-03-09,252,176,76,528,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-03-10,235,169,66,545,com.camelgames.aoz.debuglz4,10797,127
2024-09-21 18-03-11,200,162,38,583,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-03-12,197,152,45,587,com.camelgames.aoz.debuglz4,10797,135
2024-09-21 18-03-13,186,148,38,600,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-03-14,231,162,69,521,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-03-15,204,145,59,576,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-03-16,196,143,53,590,com.camelgames.aoz.debuglz4,10797,133
2024-09-21 18-03-17,253,196,57,525,com.camelgames.aoz.debuglz4,10797,142
2024-09-21 18-03-17,183,145,38,600,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-03-19,169,141,28,614,com.camelgames.aoz.debuglz4,10797,131
2024-09-21 18-03-20,245,155,90,538,com.camelgames.aoz.debuglz4,10797,144
2024-09-21 18-03-21,197,152,45,590,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-03-22,200,143,57,587,com.camelgames.aoz.debuglz4,10797,133
2024-09-21 18-03-23,183,145,38,600,com.camelgames.aoz.debuglz4,10797,134
