2024-09-21 18-07-22 top info:
Tasks: 625 total,   1 running, 436 sleeping,   0 stopped,   1 zombie
Mem:   5792924k total,  5666588k used,   126336k free,     8264k buffers
Swap:  2621436k total,   390132k used,  2231304k free,  1423524k cached
800%cpu  97%user   0%nice  69%sys 617%idle   0%iow  14%irq   3%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS                       
10797 u0_a201      10 -10  11G 1.3G 536M S  134  23.9  79:28.80 com.camelgames.aoz.debuglz4
17943 shell        20   0  12M 4.1M 3.1M R 17.2   0.0   0:00.05 top -b -n 1 -d 1
  720 system       -2   0 2.1G  27M  20M S 13.7   0.4  51:45.54 surfaceflinger
  717 audioserver  20   0 167M 7.7M 4.0M S 10.3   0.1  26:47.81 audioserver
  678 system       20   0  59M 5.2M 4.1M S 10.3   0.0  33:57.51 android.hardware.sensors@1.0-service
17071 root         20   0    0    0    0 I  6.8   0.0   0:09.89 [kworker/u16:8]
 1589 system       18  -2 4.7G 296M 296M S  6.8   5.2 154:00.01 system_server
  671 system       -3   0  56M 9.4M 6.7M S  6.8   0.1  15:49.54 android.hardware.graphics.composer@2.2-service
 6527 root         20   0    0    0    0 I  3.4   0.0   0:59.61 [kworker/u16:5]
 2568 system       20   0  17M 5.1M 3.1M S  3.4   0.0  68:01.24 cnss_diag -q -f
  661 audioserver  20   0  44M 4.4M 2.3M S  3.4   0.0  18:47.43 android.hardware.audio@2.0-service
  624 root         20   0    0    0    0 S  3.4   0.0   3:08.28 [qrtr_rx]
  442 root         RT   0    0    0    0 S  3.4   0.0   7:34.10 [crtc_commit:110]
  242 root         -3   0    0    0    0 S  3.4   0.0  11:32.52 [kgsl_worker_thr]
   15 root         RT   0    0    0    0 S  3.4   0.0   1:29.78 [migration/0]
17918 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:1H]
17890 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:4]
17889 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:3]
17767 root          0 -20    0    0    0 I  0.0   0.0   0:00.02 [kworker/0:2H]
17534 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:3]
17509 root         20   0    0    0    0 I  0.0   0.0   0:00.20 [kworker/0:1]
17413 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:2]
17139 u0_a189      20   0 4.2G  90M  71M S  0.0   1.5   0:00.24 com.google.process.gservices
17103 u0_a189      20   0 4.6G 182M 156M S  0.0   3.2   0:01.99 com.google.android.gms.unstable
17073 root         20   0    0    0    0 S  0.0   0.0   0:00.06 [kworker/u16:11]
17072 root         20   0    0    0    0 I  0.0   0.0   0:02.50 [kworker/u16:10]
17056 system       20   0 4.3G 154M 127M S  0.0   2.7   0:00.68 com.android.settings
17055 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/6:3]
17034 root         20   0    0    0    0 I  0.0   0.0   0:03.36 [kworker/u16:3]
17029 root          0 -20    0    0    0 I  0.0   0.0   0:00.06 [kworker/4:0H]
17023 root         20   0    0    0    0 I  0.0   0.0   0:00.94 [kworker/1:2]
17005 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:4]
16989 root          0 -20    0    0    0 I  0.0   0.0   0:00.08 [kworker/0:1H]
16981 root          0 -20    0    0    0 I  0.0   0.0   0:00.15 [kworker/1:0H]
16869 root         20   0    0    0    0 I  0.0   0.0   0:00.19 [kworker/0:0]
16830 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:0]
16803 root         20   0    0    0    0 I  0.0   0.0   0:00.05 [kworker/7:1]
16621 root          0 -20    0    0    0 I  0.0   0.0   0:00.07 [kworker/1:2H]
16527 root         20   0    0    0    0 I  0.0   0.0   0:00.59 [kworker/1:0]
16526 root         20   0    0    0    0 I  0.0   0.0   0:00.08 [kworker/6:2]
