2024-09-21 18-09-04 top info:
Tasks: 624 total,   1 running, 436 sleeping,   0 stopped,   1 zombie
Mem:   5792924k total,  5677796k used,   115128k free,     8264k buffers
Swap:  2621436k total,   390132k used,  2231304k free,  1451876k cached
800%cpu 169%user   3%nice  72%sys 538%idle   0%iow  14%irq   3%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS                       
10797 u0_a201      10 -10  11G 1.3G 536M S  134  23.9  81:50.32 com.camelgames.aoz.debuglz4
 1589 system       18  -2 4.7G 296M 296M S 17.2   5.2 154:09.65 system_server
  720 system       -2   0 2.1G  27M  20M S 17.2   0.4  51:59.85 surfaceflinger
 1097 radio        20   0 139M 8.1M 8.1M S 13.7   0.1  46:15.68 qcrild -c 2
18112 shell        20   0  12M 4.2M 3.2M R 10.3   0.0   0:00.06 top -b -n 1 -d 1
  717 audioserver  20   0 167M 7.7M 4.0M S 10.3   0.1  26:57.04 audioserver
  678 system       RT   0  59M 5.2M 4.1M S 10.3   0.0  34:06.30 android.hardware.sensors@1.0-service
  661 audioserver  20   0  44M 4.4M 2.3M S 10.3   0.0  18:53.08 android.hardware.audio@2.0-service
17034 root         20   0    0    0    0 I  6.8   0.0   0:04.51 [kworker/u16:3]
 2568 system       20   0  17M 5.1M 3.1M S  6.8   0.0  68:05.75 cnss_diag -q -f
14432 root         20   0    0    0    0 I  3.4   0.0   0:28.47 [kworker/u16:9]
 2197 radio        20   0 4.3G 100M 100M S  3.4   1.7  27:29.49 com.android.phone
  671 system       -3   0  56M 9.4M 6.7M S  3.4   0.1  15:55.15 android.hardware.graphics.composer@2.2-service
  624 root         20   0    0    0    0 S  3.4   0.0   3:09.40 [qrtr_rx]
  442 root         RT   0    0    0    0 S  3.4   0.0   7:36.98 [crtc_commit:110]
  242 root         -3   0    0    0    0 S  3.4   0.0  11:35.46 [kgsl_worker_thr]
18107 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/6:1H]
18043 updater      20   0 4.2G 108M  88M S  0.0   1.9   0:00.74 com.android.updater
18014 root         20   0    0    0    0 I  0.0   0.0   0:00.01 [kworker/4:1]
17918 root          0 -20    0    0    0 I  0.0   0.0   0:00.01 [kworker/1:1H]
17890 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:4]
17889 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:3]
17767 root          0 -20    0    0    0 I  0.0   0.0   0:00.04 [kworker/0:2H]
