2024-09-21 18-09-56 top info:
Tasks: 625 total,   3 running, 434 sleeping,   0 stopped,   1 zombie
Mem:   5792924k total,  5689248k used,   103676k free,     8264k buffers
Swap:  2621436k total,   390132k used,  2231304k free,  1461052k cached
800%cpu 159%user   3%nice  76%sys 538%idle  10%iow  10%irq   3%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS                       
10797 u0_a201      10 -10  11G 1.3G 536M S  137  23.9  83:01.49 com.camelgames.aoz.debuglz4
 1589 system       18  -2 4.7G 296M 296M R 24.1   5.2 154:14.36 system_server
18216 shell        20   0  12M 4.2M 3.2M R 13.7   0.0   0:00.06 top -b -n 1 -d 1
  720 system       -2   0 2.1G  27M  20M R 13.7   0.4  52:07.14 surfaceflinger
  717 audioserver  20   0 167M 7.7M 4.0M S  6.8   0.1  27:01.71 audioserver
  678 system       20   0  59M 5.2M 4.1M S  6.8   0.0  34:10.81 android.hardware.sensors@1.0-service
  671 system       -3   0  56M 9.4M 6.7M S  6.8   0.1  15:58.03 android.hardware.graphics.composer@2.2-service
18158 root          0 -20    0    0    0 I  3.4   0.0   0:00.00 [kworker/4:2H]
18043 updater      20   0 4.2G 111M  90M S  3.4   1.9   0:00.79 com.android.updater
17034 root         20   0    0    0    0 I  3.4   0.0   0:06.56 [kworker/u16:3]
12221 root         20   0  10M 3.2M 2.5M S  3.4   0.0   0:00.79 ip6tables-restore --noflush -w -v
 6527 root         20   0    0    0    0 I  3.4   0.0   1:03.89 [kworker/u16:5]
 8283 root         19  -1    0    0    0 S  3.4   0.0   1:36.31 [cds_ol_rx_threa]
 2568 system       20   0  17M 5.1M 3.1M S  3.4   0.0  68:07.82 cnss_diag -q -f
  661 audioserver  20   0  44M 4.4M 2.3M S  3.4   0.0  18:55.97 android.hardware.audio@2.0-service
  535 system       20   0  12M 3.0M 2.8M S  3.4   0.0   2:11.62 servicemanager
  331 root         20   0    0    0    0 D  3.4   0.0  11:13.09 [mmc-cmdqd/0]
  242 root         -3   0    0    0    0 S  3.4   0.0  11:36.97 [kgsl_worker_thr]
   13 root         20   0    0    0    0 S  3.4   0.0   0:45.26 [rcuos/0]
18107 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/6:1H]
18014 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/4:1]
17918 root          0 -20    0    0    0 I  0.0   0.0   0:00.01 [kworker/1:1H]
17890 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:4]
17889 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:3]
17767 root          0 -20    0    0    0 I  0.0   0.0   0:00.05 [kworker/0:2H]
17509 root         20   0    0    0    0 I  0.0   0.0   0:00.26 [kworker/0:1]
17413 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:2]
17139 u0_a189      20   0 4.2G  90M  71M S  0.0   1.5   0:00.24 com.google.process.gservices
17103 u0_a189      20   0 4.6G 182M 156M S  0.0   3.2   0:02.13 com.google.android.gms.unstable
17073 root         20   0    0    0    0 S  0.0   0.0   0:00.06 [kworker/u16:11]
17072 root         20   0    0    0    0 I  0.0   0.0   0:04.10 [kworker/u16:10]
17071 root         20   0    0    0    0 I  0.0   0.0   0:11.17 [kworker/u16:8]
17056 system       20   0 4.3G 156M 128M S  0.0   2.7   0:00.69 com.android.settings
